State,Year,Per_capita_consumption
Montana,2006,2.87
Montana,2005,2.78
Montana,2004,2.66
Montana,2003,2.62
Montana,2002,2.65
Montana,2001,2.56
Montana,2000,2.54
Montana,1999,2.51
Montana,1998,2.45
Montana,1997,2.32
Montana,1996,2.45
Montana,1995,2.55
Montana,1994,2.51
Montana,1993,2.47
Montana,1992,2.61
Montana,1991,2.64
Montana,1990,2.67
Montana,1989,2.61
Montana,1988,2.7
Montana,1987,2.7
Montana,1986,2.76
Montana,1985,2.84
Montana,1984,2.97
Montana,1983,3.11
Montana,1982,3.16
Montana,1981,3.27
Montana,1980,3.2
Montana,1979,3.29
Montana,1978,3.09
Montana,1977,3.11
Nebraska,2016,2.23
Nebraska,2015,2.27
Nebraska,2014,2.3
Nebraska,2013,2.31
Nebraska,2012,2.31
Nebraska,2011,2.28
Nebraska,2010,2.28
Nebraska,2009,2.29
Nebraska,2008,2.33
Nebraska,2007,2.31
Nebraska,2006,2.35
Nebraska,2005,2.29
Nebraska,2004,2.28
Nebraska,2003,2.24
Nebraska,2002,2.23
Nebraska,2001,2.2
Nebraska,2000,2.23
Nebraska,1999,2.19
Nebraska,1998,2.16
Nebraska,1997,2.09
Nebraska,1996,2.11
Nebraska,1995,2.1
Nebraska,1994,2.14
Nebraska,1993,2.14
Nebraska,1992,2.16
Nebraska,1991,2.19
Nebraska,1990,2.25
Nebraska,1989,2.26
Nebraska,1988,2.3
Nebraska,1987,2.33
Nebraska,1986,2.33
Nebraska,1985,2.39
Nebraska,1984,2.43
Nebraska,1983,2.51
Nebraska,1982,2.37
Nebraska,1981,2.65
Nebraska,1980,2.63
Nebraska,1979,2.59
Nebraska,1978,2.56
Nebraska,1977,2.54
Nevada,2016,3.46
Nevada,2015,3.33
Nevada,2014,3.36
Nevada,2013,3.31
Nevada,2012,3.27
Nevada,2011,3.35
Nevada,2010,3.3
Nevada,2009,3.21
Nevada,2008,3.53
Nevada,2007,3.52
Nevada,2006,3.63
Nevada,2005,3.52
Nevada,2004,3.61
Nevada,2003,3.59
Nevada,2002,3.56
Nevada,2001,3.59
Nevada,2000,3.67
Nevada,1999,3.74
Nevada,1998,3.62
Nevada,1997,3.72
Nevada,1996,3.89
Nevada,1995,3.84
Nevada,1994,4
